case,KID1,KID3,KID5,KID7,KID9,KID11
1,case1,case2,case3,case4,case5,case6
2,case7502,case7891,case7018,case6660,case7182,case2455
3,case959,case1347,case6085,case3411,case6588,case7160
4,case5338,case6224,case2872,case6792,case47,case2440
5,case6851,case3293,case6534,case6965,case1069,case7186
6,case2604,case5369,case3862,case392,case402,case5902
7,case4599,case3673,case7244,case441,case7727,case6055
8,case1363,case3777,case2908,case2338,case1238,case5576
9,case8156,case3689,case2270,case2338,case528,case2704
10,case2773,case1054,case6048,case2926,case7847,case5278
11,case7421,case800,case1041,case5181,case6675,case7483
12,case6556,case3977,case1163,case7502,case7842,case3456
13,case3214,case5561,case6088,case5370,case1403,case6208
14,case3126,case5693,case3595,case7785,case283,case2598
15,case1333,case6183,case5569,case2262,case5812,case5367
16,case4145,case5727,case7859,case6155,case2090,case7299
17,case2057,case1995,case7613,case6671,case1611,case2868
18,case3117,case2342,case7514,case4652,case6175,case6203
19,case2762,case4660 ,case98,case1329,case3846,case6507
20,case6129,case687,case7483,case3691 ,case1876,case5647
